%,h=1,h=1/2,h=2,h=3,n,player,season
0.3333333333333333,-4.586708783987163,-5.752540253322206,-3.3707300395478867,-2.430722781056417,12.0,Alex Stepheson,2015 - 2016
0.7886178861788617,-4.567994478178576,-1.4789167216253531,-3.387305236538751,0.6461295288247015,123.0,Wilson Chandler,2012 - 2013
0.5441176470588235,-4.545087938069315,2.0040849977393975,-3.763906270112443,1.3683618477741106,68.0,Dan Gadzuric,2008 - 2009
0.7709677419354839,-4.542676576570614,-0.8773208420824403,0.6291597049118423,2.967544453156222,310.0,Tyreke Evans,2013 - 2014
0.5882352941176471,-4.531529231149623,1.5145107376701255,-3.8567036958080436,-4.903199983337139,17.0,Eddy Curry,2009 - 2010
0.76,-4.517677727664221,-6.284638956068051,-4.672105613352613,0.655495105768523,150.0,Evan Turner,2014 - 2015
0.8193548387096774,-4.487065006066814,2.290530261852723,-1.2565138798378825,-4.569126676708549,310.0,Brook Lopez,2014 - 2015
0.8413793103448276,-4.485516381980744,-3.708565967698405,0.9010859012011565,-1.339691226255809,145.0,Rasual Butler,2009 - 2010
0.888,-4.485178240663501,-1.121825912442361,-5.188471205586126,-5.195434455367604,125.0,Eric Gordon,2015 - 2016
0.4,-4.476093143712951,-4.476093143712951,-4.476093143712951,-4.476093143712951,5.0,Marcus Haislip,2009 - 2010
0.865296803652968,-4.467198440015238,-0.6196373249322846,-2.2372581970626015,-4.370798587612114,438.0,Ben Gordon,2008 - 2009
0.726078799249531,-4.460807977860213,1.9475494983846602,0.858368469785546,12.679075906181424,533.0,Blake Griffin,2014 - 2015
0.7941176470588235,-4.443068550533511,1.8944916507217329,-2.783323834043344,-2.783323834043344,34.0,J.J. Redick,2007 - 2008
0.5859375,-4.422684693146664,-2.730158314490211,-8.300977262756675,-8.380808716945381,128.0,Amir Johnson,2015 - 2016
0.7310344827586207,-4.422625395009163,-6.351324876489002,1.5517223384124463,3.943415541400441,145.0,Cory Joseph,2014 - 2015
0.7272727272727273,-4.422442802531084,0.40938475407102004,-1.439133048975652,-0.6282028327593228,11.0,Paul George,2014 - 2015
0.7066666666666667,-4.4198332007497925,1.5527156313837907,-4.500544679451991,0.7472810184667082,150.0,Shawn Marion,2007 - 2008
0.5172413793103449,-4.3763277668080605,1.640853631094501,-0.42545572353196803,13.395538957650615,290.0,J.J. Hickson,2013 - 2014
0.8475609756097561,-4.3588552095676505,-4.8875971606686335,-0.6630797792839189,6.601007632340384,164.0,Luke Ridnour,2012 - 2013
0.9130434782608695,-4.349205434737268,-5.373135504195847,-4.129254499219787,-2.636095144401832,23.0,Jerry Stackhouse,2011 - 2012
0.8,-4.328194848530728,-3.7703851397223076,-5.669534382462711,-0.4033742948985548,30.0,Cartier Martin,2009 - 2010
0.8948339483394834,-4.307457113720545,-1.5540418326068561,0.2156011059517482,6.382525473885607,542.0,Damian Lillard,2015 - 2016
0.7368421052631579,-4.304920022185765,1.2026874137066947,0.3322040728486151,1.1431342890649425,19.0,Corey Brewer,2008 - 2009
0.6941747572815534,-4.285627697423195,-6.219167162328972,1.6856182583966302,8.497446285730973,206.0,Udonis Haslem,2006 - 2007
0.7909090909090909,-4.280459044487827,-1.050781851410079,-3.4473955815144564,6.797092652476181,440.0,Anthony Davis,2013 - 2014
0.8360655737704918,-4.257743537025846,-2.8680128940871157,-0.23588182197858032,5.3416365276027875,122.0,Will Bynum,2010 - 2011
0.8120411160058737,-4.243234345886094,-0.07917469426115531,3.125420363260446,10.04355313374765,681.0,Corey Maggette,2007 - 2008
0.8442211055276382,-4.229175132768262,2.2142344879914617,-0.1190745691532129,6.604106220599419,398.0,Chris Paul,2013 - 2014
0.8076923076923077,-4.22690274972129,0.2244788184530826,-1.2902741200796726,-1.2902741200796726,26.0,Francisco Garcia,2012 - 2013
0.7916666666666666,-4.218310376791123,-1.1413290557051141,2.6009222862156207,0.5513006293347189,168.0,Dahntay Jones,2006 - 2007
0.581081081081081,-4.2135371007782965,-2.5206430286884256,1.7296660308921048,12.566828627031299,148.0,Trevor Booker,2014 - 2015
0.5185185185185185,-4.198304706514392,-1.8255873948795838,-2.696746127766808,-1.3104517666469206,27.0,Hamed Haddadi,2012 - 2013
0.6739130434782609,-4.185755517668262,-5.901245142762704,-1.3990492953103626,-1.163483223997595,46.0,Junior Harrington,2006 - 2007
0.8333333333333334,-4.145109047392559,0.9798886074740842,-1.129926615240425,1.5135850647242108,18.0,Cole Aldrich,2011 - 2012
0.7619047619047619,-4.138290172179637,-4.873680953865659,1.0906268761090416,7.540378185507706,189.0,Rasheed Wallace,2007 - 2008
0.8050314465408805,-4.134453411879633,-6.156614193965822,-0.6162500190561957,7.006868092112512,159.0,Gerald Green,2006 - 2007
0.5862068965517241,-4.100987944174307,-0.971551905842972,-3.653481045777731,-4.310489179721806,29.0,Mouhamed Sene,2006 - 2007
0.7448275862068966,-4.077884110817024,0.5712330761427324,0.8877578154151706,8.68812176951866,290.0,Ron Artest,2008 - 2009
0.8557692307692307,-4.069905364799041,1.9249060881903404,-0.5487324936490978,2.0207671898192814,104.0,Carlos Arroyo,2007 - 2008
0.7947761194029851,-4.06552148634529,-5.474077643979626,1.3107202813525873,6.322424805056812,268.0,Chris Bosh,2015 - 2016
0.7126436781609196,-4.035241016389165,1.7678870357962353,-0.9049608435476557,2.5322042823842708,174.0,Carlos Boozer,2008 - 2009
0.8,-4.030671378636596,-3.7298548526916804,-2.222934954885403,-1.6475708099818416,10.0,Luigi Datome,2013 - 2014
0.6774193548387096,-4.030426881884679,0.9454996180295154,-1.5075258265524951,0.13917964587727027,31.0,Jermaine O'Neal,2011 - 2012
0.7735849056603774,-4.029519221912736,-3.4965964570122736,-2.667672925104931,1.2548109271715475,53.0,John Salmons,2013 - 2014
0.7483870967741936,-4.028563716855331,-4.019539527152574,-1.465659994313171,2.522579823600978,155.0,Rashad McCants,2007 - 2008
0.7890909090909091,-4.025016980019473,1.1564715172262936,2.004740707356575,13.270120548426917,275.0,Derrick Rose,2008 - 2009
0.5,-4.023154367145359,0.8175818901555019,-3.4477902222417978,-3.4477902222417978,8.0,Josh Davis,2011 - 2012
0.6086956521739131,-4.020380493114672,-4.802799893007155,-0.7149565552572028,-3.1477472039061922,23.0,Andrew Bogut,2011 - 2012
0.7258064516129032,-4.019771438993104,-5.697400616572608,-1.0857279054461912,-0.6154289225910929,62.0,Dante Cunningham,2010 - 2011
0.6666666666666666,-4.013343639749774,1.7584911753438028,-1.47632098882276,0.7209035885134583,12.0,Kelvin Cato,2006 - 2007
0.25,-3.9984532687293424,0.35778037338713986,-0.020084857629477426,-2.874317568909767,24.0,Lou Amundson,2013 - 2014
0.625,-3.9782229777373814,-5.91849352868315,-2.630534199602927,-2.630534199602927,24.0,Etan Thomas,2009 - 2010
0.8933333333333333,-3.9687297554090293,0.902182665984995,-1.8161961626541938,-0.1865299673501113,75.0,Delonte West,2011 - 2012
0.7435897435897436,-3.949604755950638,0.690497243781806,-0.27205822911981414,3.868174293071924,39.0,Jonny Flynn,2011 - 2012
0.8232044198895028,-3.944991242395133,-5.790332694240192,1.2780932493966475,9.280411042589947,181.0,Aaron Brooks,2014 - 2015
0.7948717948717948,-3.9335209366527764,-0.8020932878946283,-2.8703703311063578,-1.1066451249617515,39.0,Leandro Barbosa,2013 - 2014
0.5625,-3.9310319131718074,-2.4896795986440736,-8.479402603045685,-3.800073261726695,48.0,Kent Bazemore,2012 - 2013
0.7894736842105263,-3.9270314368708625,2.3359196461856584,2.723564883089068,5.59353211172629,228.0,Dorell Wright,2010 - 2011
0.7663551401869159,-3.9257306906785914,-4.6677105041097775,0.4779319988821271,6.910698929170508,107.0,Willie Green,2010 - 2011
0.7692307692307693,-3.9250705845518326,-3.0642557520424987,1.3529871339432304,-2.1540883764984073,130.0,Baron Davis,2010 - 2011
0.5326633165829145,-3.915458670882515,0.12129292518557122,1.1690798081182265,7.901694258555835,199.0,Tyson Chandler,2006 - 2007
0.8780487804878049,-3.915211166083953,1.1553372150506789,-2.769185817029033,-1.4645354449496573,41.0,Michael Doleac,2006 - 2007
0.375,-3.9045852204293716,-3.9045852204293716,-3.9045852204293716,-3.9045852204293716,8.0,Sasha Pavlovic,2011 - 2012
0.7718120805369127,-3.882959164316844,1.1375906290910507,-5.706526170943562,-1.5515437638812273,149.0,Brad Miller,2006 - 2007
0.5818181818181818,-3.858005759569039,0.5581017142358746,2.6233097333958426,5.904133231587764,220.0,Kenyon Martin,2007 - 2008
0.8181818181818182,-3.846379812620455,1.1826579150840644,-5.522418410656897,-4.160722160457979,132.0,Ersan Ilyasova,2013 - 2014
0.6666666666666666,-3.829198440304104,-4.044326367601691,-5.401726314850933,-4.119663956009077,39.0,Orlando Johnson,2012 - 2013
0.8049792531120332,-3.8285888266194092,0.8971532005124914,1.6019465188198012,4.563855712265109,241.0,Rudy Gay,2010 - 2011
0.6071428571428571,-3.8198185241258713,-2.7447114032519053,-1.0813072255832878,-0.8457411542705202,28.0,Randolph Morris,2009 - 2010
0.5362318840579711,-3.816722660741604,1.408436080294635,-3.73240419926438,0.3790458308606617,69.0,Josh Smith,2015 - 2016
0.8584905660377359,-3.756792387641383,1.8422752303565915,0.16398770970505439,4.593076175061455,106.0,Rudy Fernandez,2009 - 2010
0.8058823529411765,-3.7505068931415906,-3.7503515963868495,-2.2380942063972498,3.3911948878310625,170.0,Wilson Chandler,2010 - 2011
0.45714285714285713,-3.711498530418396,1.9128702374941895,-1.7165146602677623,9.587986607754601,210.0,Josh Boone,2007 - 2008
0.7631578947368421,-3.7026613448410046,1.4074824795893335,-0.16067486889099314,2.163358392464829,76.0,Shawn Marion,2013 - 2014
0.8405797101449275,-3.7023943248047573,-0.8856144494190374,0.30606928148630175,3.0846471332683905,69.0,John Jenkins,2012 - 2013
0.6337448559670782,-3.677362087210554,-1.9967237911614575,1.3614042402086852,9.475154744077827,243.0,Rajon Rondo,2007 - 2008
0.7043478260869566,-3.6697935136947137,-0.2371089032918121,0.031731192446329715,6.316717666212298,115.0,James Johnson,2011 - 2012
0.7735042735042735,-3.667508158212769,1.2318118451420617,1.4061886835598045,1.7582294507972165,234.0,Goran Dragic,2014 - 2015
0.7,-3.6407260299415825,-0.4148225664737808,-1.4435014526053607,-1.4435014526053607,10.0,Trenton Hassell,2007 - 2008
