TIME	TEAM	PLAY	SCORE
8:49		Ian Clark loose ball foul (Kevin Love draws the foul)	40 - 50	
8:33		Kyrie Irving misses 2-foot two point shot	40 - 50	
8:33		David West defensive rebound	40 - 50	
8:10		David West misses 23-foot three point jumper	40 - 50	
8:10		LeBron James defensive rebound	40 - 50	
7:56		Kevin Love makes 19-foot jumper (Kyle Korver assists)	42 - 50	
7:39		Kevin Durant misses 16-foot two point jumper	42 - 50	
7:39		Iman Shumpert defensive rebound	42 - 50	
7:33		Kevin Durant shooting foul (Iman Shumpert draws the foul)	42 - 50	
7:33		Iman Shumpert makes free throw 1 of 2	43 - 50	
7:33		Warriors Full timeout	43 - 50	
7:33		Stephen Curry enters the game for Ian Clark	43 - 50	
7:33		Iman Shumpert makes free throw 2 of 2	44 - 50	
7:24		Stephen Curry lost ball turnover (Iman Shumpert steals)	44 - 50	
7:24		Stephen Curry personal foul (LeBron James draws the foul)	44 - 50	
7:16		Kevin Love makes two point shot (LeBron James assists)	46 - 50	
7:03		Kevin Durant makes 9-foot two point shot (Stephen Curry assists)	46 - 52	
7:03		Kevin Love shooting foul (Kevin Durant draws the foul)	46 - 52	
7:03		Draymond Green enters the game for David West	46 - 52	
7:03		Shaun Livingston enters the game for Andre Iguodala	46 - 52	
7:03		Kevin Durant makes free throw 1 of 1	46 - 53	
6:48		Kevin Durant blocks LeBron James 's 8-foot jumper	46 - 53	
6:48		Cavaliers offensive team rebound	46 - 53	
6:45		Kevin Love makes 2-foot two point shot (Kyrie Irving assists)	48 - 53	
6:24		Draymond Green makes two point shot (Klay Thompson assists)	48 - 55	
6:13		Kyrie Irving makes 2-foot layup (LeBron James assists)	50 - 55	
5:56		Stephen Curry misses 25-foot three point jumper	50 - 55	
5:56		LeBron James defensive rebound	50 - 55	
5:48		LeBron James makes two point shot	52 - 55	
5:33		LeBron James blocks Shaun Livingston 's 3-foot jumper	52 - 55	
5:31		LeBron James defensive rebound	52 - 55	
5:24		LeBron James out of bounds lost ball turnover	52 - 55	
5:18		Klay Thompson makes dunk (Kevin Durant assists)	52 - 57	
5:18		Cavaliers 20 Sec. timeout	52 - 57	
5:07		Iman Shumpert misses 25-foot three point jumper	52 - 57	
5:07		Stephen Curry defensive rebound	52 - 57	
5:01		Stephen Curry bad pass (Kyrie Irving steals)	52 - 57	
4:54		LeBron James makes two point shot	54 - 57	
4:35		Stephen Curry out of bounds lost ball turnover	54 - 57	
4:13		Kevin Love misses 23-foot three point jumper	54 - 57	
4:13		Klay Thompson defensive rebound	54 - 57	
4:03		Shaun Livingston makes 13-foot two point shot	54 - 59	
3:49		Kyrie Irving misses 3-foot jumper	54 - 59	
3:48		Kevin Love offensive rebound	54 - 59	
3:48		Kevin Love misses	54 - 59	
3:47		Draymond Green defensive rebound	54 - 59	
3:42		Stephen Curry misses 27-foot three point jumper	54 - 59	
3:41		Iman Shumpert defensive rebound	54 - 59	
3:28		Kyle Korver misses 26-foot three point jumper	54 - 59	
3:28		Draymond Green defensive rebound	54 - 59	
3:15		Kevin Durant misses 18-foot step back jumpshot	54 - 59	
3:14		LeBron James defensive rebound	54 - 59	
3:05		LeBron James makes driving layup	56 - 59	
3:05		Warriors 20 Sec. timeout	56 - 59	
3:05		JR Smith enters the game for Kyle Korver	56 - 59	
3:05		Andre Iguodala enters the game for Klay Thompson	56 - 59	
2:45		Draymond Green misses 27-foot three point pullup jump shot	56 - 59	
2:44		Iman Shumpert defensive rebound	56 - 59	
2:18		Kyrie Irving makes two point shot	58 - 59	
2:09		Shaun Livingston makes two point shot (Draymond Green assists)	58 - 61	
1:54		Kyrie Irving misses 25-foot three point jumper	58 - 61	
1:53		JR Smith offensive rebound	58 - 61	
1:45		JR Smith misses 26-foot three point jumper	58 - 61	
1:45		Kevin Durant defensive rebound	58 - 61	
1:42		Kevin Durant bad pass (Iman Shumpert steals)	58 - 61	
